directed_by|no_in_season|no_in_series|original_air_date|production_code|title|us_viewers_millions|written_by|nth_season|show|corpus_url|source|corpus
Richard Dobbs|3|374|2006-10-06 00:00:00|17003|Home Sweet|9640000.0|Michael S. Chernuchin|17|original|http://www.tv.com/shows/law-order/home-sweet-875076/recap|http://www.tv.com|
Constantine Makris|4|375|2006-10-13 00:00:00|17004|Fear America|9430000.0|Sonny Postiglione & Robert Nathan|17|original|http://www.tv.com/shows/law-order/fear-america-888977/recap|http://www.tv.com|
Constantine Makris|5|376|2006-10-20 00:00:00|17005|Public Service Homicide|10200000.0|Chris Levinson|17|original|http://www.tv.com/shows/law-order/public-service-homicide-888979/recap|http://www.tv.com|
Arthur W. Forney|6|377|2006-10-27 00:00:00|17007|Profiteer|9020000.0|David Wilcox|17|original|http://www.tv.com/shows/law-order/profiteer-903270/recap|http://www.tv.com|
Tim Hunter|7|378|2006-11-03 00:00:00|17006|In Vino Veritas|10870000.0|David Wilcox|17|original|http://www.tv.com/shows/law-order/in-vino-veritas-897534/recap|http://www.tv.com|
Michael Pressman|8|379|2006-11-10 00:00:00|17008|Release|9570000.0|Rick Eid & Nicholas Wootton|17|original|http://www.tv.com/shows/law-order/release-903272/recap|http://www.tv.com|
Alex Chapple|9|380|2006-11-17 00:00:00|17009|Deadlock|9940000.0|David Slack|17|original|http://www.tv.com/shows/law-order/deadlock-907819/recap|http://www.tv.com|
Joan Stein Schimke|10|381|2006-12-08 00:00:00|17010|Corner Office|10230000.0|Rick Eid & Richard Sweren|17|original|http://www.tv.com/shows/law-order/corner-office-925110/recap|http://www.tv.com|
Constantine Makris|11|382|2007-01-05 00:00:00|17011|Remains of the Day|9770000.0|Shiya Ribowsky & David Wilcox|17|original|http://www.tv.com/shows/law-order/remains-of-the-day-935837/recap|http://www.tv.com|
Michael Pressman|12|383|2007-01-12 00:00:00|17012|Charity Case|9020000.0|Nicholas Wootton|17|original|http://www.tv.com/shows/law-order/charity-case-941706/recap|http://www.tv.com|
Matthew Penn|13|384|2007-02-02 00:00:00|17013|Talking Points|9530000.0|Michael S. Chernuchin|17|original|http://www.tv.com/shows/law-order/talking-points-962517/recap|http://www.tv.com|
Constantine Makris|14|385|2007-02-09 00:00:00|17014|Church|9630000.0|Rick Eid|17|original|http://www.tv.com/shows/law-order/church-962519/recap|http://www.tv.com|
Jean de Segonzac|15|386|2007-02-16 00:00:00|17015|Melting Pot|9010000.0|Richard Sweren|17|original|http://www.tv.com/shows/law-order/melting-pot-962518/recap|http://www.tv.com|
Constantine Makris|16|387|2007-02-23 00:00:00|17016|Murder Book|8670000.0|David Wilcox|17|original|http://www.tv.com/shows/law-order/murder-book-967364/recap|http://www.tv.com|
Sam Weisman|17|388|2007-03-30 00:00:00|17017|Good Faith|7470000.0|David Slack|17|original|http://www.tv.com/shows/law-order/good-faith-1001087/recap|http://www.tv.com|
Karen Gaviola|18|389|2007-04-06 00:00:00|17018|Bling|8220000.0|Matthew McGough|17|original|http://www.tv.com/shows/law-order/bling-1006132/recap|http://www.tv.com|
Constantine Makris|19|390|2007-04-27 00:00:00|17019|Fallout|7520000.0|Sonny Postiglione|17|original|http://www.tv.com/shows/law-order/fallout-1026276/recap|http://www.tv.com|
Michael W. Watkins|20|391|2007-05-04 00:00:00|17020|Captive|8880000.0|Richard Sweren|17|original|http://www.tv.com/shows/law-order/captive-1032329/recap|http://www.tv.com|
Constantine Makris|21|392|2007-05-11 00:00:00|17021|Over Here|8300000.0|William N. Fordes|17|original|http://www.tv.com/shows/law-order/over-here-1045048/recap|http://www.tv.com|
Matthew Penn|22|393|2007-05-18 00:00:00|17022|The Family Hour|9230000.0|David Slack & Richard Sweren|17|original|http://www.tv.com/shows/law-order/the-family-hour-1052739/recap|http://www.tv.com|
Allen Coulter|1|394|2008-01-02 00:00:00|18001|Called Home|13450000.0|René Balcer|18|original|http://www.tv.com/shows/law-order/called-home-1160053/recap|http://www.tv.com|
Michael Dinner|2|395|2008-01-02 00:00:00|18006|Darkness|13450000.0|David Slack & William N. Fordes|18|original|http://www.tv.com/shows/law-order/darkness-1160054/recap|http://www.tv.com|
Michael W. Watkins|3|396|2008-01-09 00:00:00|18002|Misbegotten|11050000.0|Stephanie Sengupta & David Wilcox|18|original|http://www.tv.com/shows/law-order/misbegotten-1160055/recap|http://www.tv.com|
Alex Chapple|4|397|2008-01-16 00:00:00|18004|Bottomless|11550000.0|Ed Zuckerman|18|original|http://www.tv.com/shows/law-order/bottomless-1160056/recap|http://www.tv.com|
Alan Taylor|5|398|2008-01-23 00:00:00|18009|Driven|10330000.0|Gina Gionfriddo & Richard Sweren|18|original|http://www.tv.com/shows/law-order/driven-1161681/recap|http://www.tv.com|A general anti-snitch sentiment hampers police investigating the double murder of a white teenage boy and a black pre-teen girl. McCoy, however, is able to politically wrangle a community leader to help generate leads which get the shooter. The shooter claims that he opened fire on the teenage boy because he was swinging a baseball bat at his son and that the pre-teen girl's death was an accident. Investigating this claim, police and the DA uncover the fact that the teen did indeed have a bat and that he was actually incited and driven to the fight by his somewhat-racist mother in order to retrieve a basketball stolen by the shooter's son. Cutter prosecutes the shooter and the mother as unhappy co-defendents, one for 2 counts murder, the other for 2 counts reckless endangerment manslaughter.
Jean de Segonzac|6|399|2008-01-30 00:00:00|18011|Political Animal|11140000.0|David Slack & Ed Zuckerman|18|original|http://www.tv.com/shows/law-order/political-animal-1175126/recap|http://www.tv.com|
Jim McKay|7|400|2008-02-06 00:00:00|18010|Quit Claim|10070000.0|David Wilcox & William N. Fordes|18|original|http://www.tv.com/shows/law-order/quit-claim-1168685/recap|http://www.tv.com|
Constantine Makris|8|401|2008-02-13 00:00:00|18003|Illegal|10240000.0|William N. Fordes & David Slack|18|original|http://www.tv.com/shows/law-order/illegal-1168688/recap|http://www.tv.com|
Constantine Makris|9|402|2008-02-20 00:00:00|18012|Executioner|10850000.0|Gina Gionfriddo & Richard Sweren|18|original|http://www.tv.com/shows/law-order/executioner-1168689/recap|http://www.tv.com|
Dean White|10|403|2008-02-27 00:00:00|18013|Tango|11450000.0|Stephanie Sengupta|18|original|http://www.tv.com/shows/law-order/tango-1168690/recap|http://www.tv.com|
Marc Levin|11|404|2008-03-05 00:00:00|18005|Betrayal|9680000.0|Richard Sweren & Gina Gionfriddo|18|original|http://www.tv.com/shows/law-order/betrayal-1168692/recap|http://www.tv.com|
Constantine Makris|12|405|2008-03-12 00:00:00|18007|Submission|11680000.0|Ed Zuckerman|18|original|http://www.tv.com/shows/law-order/submission-1168684/recap|http://www.tv.com|
Darnell Martin|13|406|2008-03-19 00:00:00|18008|Angelgrove|10450000.0|David Wilcox & Stephanie Sengupta|18|original|http://www.tv.com/shows/law-order/angelgrove-1175264/recap|http://www.tv.com|
Mario Van Peebles|14|407|2008-04-23 00:00:00|18014|Burn Card|12630000.0|David Wilcox & Ed Zuckerman|18|original|http://www.tv.com/shows/law-order/burn-card-1168691/recap|http://www.tv.com|
Tim Hunter|15|408|2008-04-30 00:00:00|18015|Bogeyman|9620000.0|Gina Gionfriddo & Richard Sweren|18|original|http://www.tv.com/shows/law-order/bogeyman-1195599/recap|http://www.tv.com|
Marisol Torres|16|409|2008-05-07 00:00:00|18016|Strike|8760000.0|David Slack & William N. Fordes|18|original|http://www.tv.com/shows/law-order/strike-1195600/recap|http://www.tv.com|
John David Coles|17|410|2008-05-14 00:00:00|18017|Personae Non Grata|8350000.0|Matt McGough & Stephanie Sengupta|18|original|http://www.tv.com/shows/law-order/personae-non-grata-1198197/recap|http://www.tv.com|
Jim McKay|18|411|2008-05-21 00:00:00|18018|Excalibur|8450000.0|Ed Zuckerman & René Balcer|18|original|http://www.tv.com/shows/law-order/excalibur-1198196/recap|http://www.tv.com|
Constantine Makris|1|412|2008-11-05 00:00:00|19003|Rumble|7850000.0|Christopher Ambrose & Richard Sweren|19|original|http://www.tv.com/shows/law-order/rumble-1236005/recap|http://www.tv.com|
Fred Berner|2|413|2008-11-12 00:00:00|19001|Challenged|7910000.0|Ed Zuckerman & René Balcer|19|original|http://www.tv.com/shows/law-order/challenged-1237594/recap|http://www.tv.com|
Chris Zalla|3|414|2008-11-19 00:00:00|19004|Lost Boys|7580000.0|Richard Sweren & Gina Gionfriddo|19|original|http://www.tv.com/shows/law-order/lost-boys-1237593/recap|http://www.tv.com|
Michael Watkins|4|415|2008-11-26 00:00:00|19005|Falling||Keith Eisner & Stephanie Sengupta|19|original|http://www.tv.com/shows/law-order/falling-1240919/recap|http://www.tv.com|
Constantine Makris|5|416|2008-12-03 00:00:00|19006|Knock Off|11260000.0|Matt McGough, Jonathan Rintels, & William N. Fordes|19|original|http://www.tv.com/shows/law-order/knock-off-1241802/recap|http://www.tv.com|
Mario Van Peebles|6|417|2008-12-10 00:00:00|19007|Sweetie|7460000.0|Luke Schelhaas & Ed Zuckerman|19|original|http://www.tv.com/shows/law-order/sweetie-1242647/recap|http://www.tv.com|
Marisol Torres|7|418|2008-12-17 00:00:00|19002|Zero|6950000.0|Luke Schelhaas & Ed Zuckerman|19|original|http://www.tv.com/shows/law-order/zero-1243432/recap|http://www.tv.com|
Jim McKay|8|419|2009-01-07 00:00:00|19009|Chattel|10110000.0|Matthew McGough & William N. Fordes|19|original|http://www.tv.com/shows/law-order/chattel-1246591/recap|http://www.tv.com|
Darnell Martin|9|420|2009-01-14 00:00:00|19010|By Perjury|8200000.0|Christopher Ambrose & Richard Sweren|19|original|http://www.tv.com/shows/law-order/by-perjury-1247543/recap|http://www.tv.com|
Alex Chapple|10|421|2009-01-21 00:00:00|19008|Pledge|8490000.0|Gina Gionfriddo & Richard Sweren|19|original|http://www.tv.com/shows/law-order/pledge-1247569/recap|http://www.tv.com|
Marc Levin|11|422|2009-01-28 00:00:00|19012|Lucky Stiff|8890000.0|Matthew McGough & Ed Zuckerman|19|original|http://www.tv.com/shows/law-order/lucky-stiff-1247571/recap|http://www.tv.com|
Josh Marston|12|423|2009-02-04 00:00:00|19011|Illegitimate|8690000.0|Keith Eisner & Stephanie Sengupta|19|original|http://www.tv.com/shows/law-order/illegitimate-1249937/recap|http://www.tv.com|
Alex Chapple|13|424|2009-02-11 00:00:00|19013|Crimebusters|7520000.0|Richard Sweren & Gina Gionfriddo|19|original|http://www.tv.com/shows/law-order/crimebusters-1250561/recap|http://www.tv.com|
Fred Berner|14|425|2009-02-18 00:00:00|19014|Rapture|7150000.0|Luke Schelhaas & Ed Zuckerman|19|original|http://www.tv.com/shows/law-order/rapture-1254273/recap|http://www.tv.com|
Jean de Segonzac|15|426|2009-03-11 00:00:00|19015|Bailout|7580000.0|Christopher Ambrose & Richard Sweren|19|original|http://www.tv.com/shows/law-order/bailout-1257502/recap|http://www.tv.com|
Jim McKay|16|427|2009-03-18 00:00:00|19016|Take-out|7070000.0|Keith Eisner & William N. Fordes|19|original|http://www.tv.com/shows/law-order/take-out-1257503/recap|http://www.tv.com|
Alex Chapple|17|428|2009-03-25 00:00:00|19017|Anchors Away|7250000.0|Matthew McGough & Ed Zuckerman|19|original|http://www.tv.com/shows/law-order/anchors-away-1259074/recap|http://www.tv.com|
Michael Watkins|18|429|2009-04-29 00:00:00|19019|Promote This!|7690000.0|Christopher Ambrose & Richard Sweren|19|original|http://www.tv.com/shows/law-order/promote-this-1266908/recap|http://www.tv.com|
Roger Young|19|430|2009-05-06 00:00:00|19020|All New|8140000.0|Keith Eisner & William N. Fordes|19|original|http://www.tv.com/shows/law-order/all-new-1267310/recap|http://www.tv.com|
Ernest Dickerson|20|431|2009-05-13 00:00:00|19018|Exchange|7820000.0|Stephanie Sengupta|19|original|http://www.tv.com/shows/law-order/exchange-1264646/recap|http://www.tv.com|
Norberto Barba|21|432|2009-05-20 00:00:00|19021|Skate or Die|6700000.0|Luke Schelhaas & Ed Zuckerman|19|original|http://www.tv.com/shows/law-order/skate-or-die-1269086/recap|http://www.tv.com|
Fred Berner|22|433|2009-06-03 00:00:00|19022|The Drowned and the Saved|8790000.0|Richard Sweren & Gina Gionfriddo|19|original|http://www.tv.com/shows/law-order/the-drowned-and-the-saved-1270792/recap|http://www.tv.com|
Fred Gerber|1|23|1991-09-17 00:00:00|67416|Confession||Michael Duggan & Robert Palm|2|original|http://www.tv.com/shows/law-order/confession-9482/recap|http://www.tv.com|
Ed Sherin|2|24|1991-09-24 00:00:00|67405|The Wages of Love||Teleplay: Ed Zuckerman Story: Robert Stuart Nathan & Ed Zuckerman|2|original|http://www.tv.com/shows/law-order/the-wages-of-love-9483/recap|http://www.tv.com|
Don Scardino|3|25|1991-10-01 00:00:00|67411|Aria||Teleplay: Christine Roum Story: Michael S. Chernuchin|2|original|http://www.tv.com/shows/law-order/aria-9484/recap|http://www.tv.com|
Kristoffer Tabori|4|26|1991-10-08 00:00:00|67409|Asylum||Teleplay: Kathy McCormick Story: Robert Palm|2|original|http://www.tv.com/shows/law-order/asylum-9485/recap|http://www.tv.com|
E.W. Swackhamer|5|27|1991-10-22 00:00:00|67404|God Bless the Child||David Black & Robert Stuart Nathan|2|original|http://www.tv.com/shows/law-order/god-bless-the-child-9486/recap|http://www.tv.com|
Daniel Sackheim|6|28|1991-10-29 00:00:00|67410|Misconception||Teleplay: Michael S. Chernuchin Story: Michael Duggan & Michael S. Chernuchin|2|original|http://www.tv.com/shows/law-order/misconception-9487/recap|http://www.tv.com|
Ed Sherin|7|29|1991-11-05 00:00:00|67413|In Memory Of||Teleplay: David Black & Robert Stuart Nathan Story: David Black & Siobhan Byrne|2|original|http://www.tv.com/shows/law-order/in-memory-of-9489/recap|http://www.tv.com|
John Whitesell|8|30|1991-11-12 00:00:00|67403|Out of Control||Teleplay: Jack Richardson Story: David Black & Robert Stuart Nathan|2|original|http://www.tv.com/shows/law-order/out-of-control-9490/recap|http://www.tv.com|
Gwen Arner|9|31|1991-11-19 00:00:00|67414|Renunciation||Michael S. Chernuchin & Joe Morgenstern|2|original|http://www.tv.com/shows/law-order/renunciation-9491/recap|http://www.tv.com|
Ed Sherin|10|32|1991-11-26 00:00:00|67415|Heaven||Teleplay: Nancy Ann Miller and Robert Palm Story: Robert Palm|2|original|http://www.tv.com/shows/law-order/heaven-9492/recap|http://www.tv.com|
Steve Cohen|11|33|1991-12-10 00:00:00|67407|His Hour Upon the Stage||Robert Stuart Nathan & Giles Blunt|2|original|http://www.tv.com/shows/law-order/his-hour-upon-the-stage-9493/recap|http://www.tv.com|
Ed Sherin|12|34|1992-01-07 00:00:00|67406|Star Struck||Teleplay: Robert Stuart Nathan & Sally Nemeth Story: David Black & Alan Gelb|2|original|http://www.tv.com/shows/law-order/star-struck-9494/recap|http://www.tv.com|
James Frawley|13|35|1992-01-14 00:00:00|67418|Severance||Teleplay: Michael S. Chernuchin & William N. Fordes Story: Michael Duggan & William N. Fordes|2|original|http://www.tv.com/shows/law-order/severance-9495/recap|http://www.tv.com|
Peter Levin|14|36|1992-02-04 00:00:00|67422|Blood Is Thicker...||Teleplay: Ed Zuckerman Story: Robert Stuart Nathan & Ed Zuckerman|2|original|http://www.tv.com/shows/law-order/blood-is-thicker--9496/recap|http://www.tv.com|
Daniel Sackheim|15|37|1992-02-11 00:00:00|67417|Trust||Teleplay: René Balcer Story: Michael Duggan & René Balcer|2|original|http://www.tv.com/shows/law-order/trust-9497/recap|http://www.tv.com|
Daniel Sackheim|16|38|1992-02-18 00:00:00|67420|Vengeance||Teleplay: Michael S. Chernuchin & René Balcer Story: Peter S. Greenberg & Michael S. Chernuchin|2|original|http://www.tv.com/shows/law-order/vengeance-9498/recap|http://www.tv.com|
Fred Gerber|17|39|1992-03-03 00:00:00|67423|Sisters of Mercy||Teleplay: René Balcer Story: Robert Palm & René Balcer|2|original|http://www.tv.com/shows/law-order/sisters-of-mercy-9499/recap|http://www.tv.com|
James Frawley|18|40|1992-03-31 00:00:00|67424|Cradle to Grave||Robert Stuart Nathan & Sally Nemeth|2|original|http://www.tv.com/shows/law-order/cradle-to-grave-9500/recap|http://www.tv.com|
Ed Sherin|19|41|1992-04-07 00:00:00|67425|The Fertile Fields||Michael S. Chernuchin & René Balcer|2|original|http://www.tv.com/shows/law-order/the-fertile-fields-9501/recap|http://www.tv.com|
Steve Robman|20|42|1992-04-14 00:00:00|67426|Intolerance||Robert Stuart Nathan & Sally Nemeth|2|original|http://www.tv.com/shows/law-order/intolerance-9502/recap|http://www.tv.com|
Ed Sherin|21|43|1992-04-28 00:00:00|67427|Silence||Teleplay: René Balcer & Michael S. Chernuchin Story: René Balcer & Michael Duggan|2|original|http://www.tv.com/shows/law-order/silence-9503/recap|http://www.tv.com|
Daniel Sackheim|22|44|1992-05-14 00:00:00|67428|The Working Stiff||Teleplay: Robert Palm Story: William N. Fordes & Robert Palm|2|original|http://www.tv.com/shows/law-order/the-working-stiff-9504/recap|http://www.tv.com|
Fred Berner|1|434|2009-09-25 00:00:00|20001|Memo from the Dark Side|6290000.0|Keith Eisner & René Balcer|20|original|http://www.tv.com/shows/law-order/memo-from-the-dark-side-1296093/recap|http://www.tv.com|"Greg argues with Megan as she decides to leave because she can't make her next tuition installment. Greg says he will help her but she declines.A police officer and Detective Kevin Bernard walk into the faculty parking lot and find a body. He took two shots in the chest and all he has on him is a wad of cash and dormitory key card. He appears to be a business major.They try to get video footage from the security card but the cameras are out of service. They slide the key card and the ID belongs to Hayley Koslow. They find Hayley and she tells them that Greg Tanner was crashing at her place. She said he wasn't a student but was mature and nice and had a sister at the university. She tells them he was in the military and got in a fight with a Hispanic guy a few nights before.They discover that the gun was fired at least three feet away. Lt. Anita Van Buren tells them that Megan, Greg's sister, is downstairs. They found out that the guy Greg was having a fight with is named Manny Lopez. Van Buren talks to Megan and she is very upset, saying that she saw Greg two days before when he offered to help her with her financial aid. He lived on campus because he had no where else to go. Their mother has Parkinson's disease and their father died when he was 10, which made him join the service to be like his dad. He had come back a different person, he was anxious all the time and was having trouble receiving army benefits. She explained that he had told her he would help her because he was ""into something big.""They think that this ""something big"" could have been a drug deal and Manny, the competition, got angry, following him into the faculty garage. But they also find that he could have been meeting a client, a professor, Kevin Franklin, who broke his pattern of coming into the garage. That day he came in at 1:00pm and didn't leave until noon the next day.They find Kevin Franklin who explains that he wasn't in the garage that day and that Greg looked vaguely familiar. He didn't take his car out because after he got out of his last class he went to the book store but by the time he got to the garage, the police had sealed it off, forcing him to take a cab and the metro home.They go to the bookstore and find out that the bookstore is always dead after dinner time and that Franklin had been arrested last year on a CPW.They look into it and find that Franklin was in a fender bender and pulled a weapon, only to find out that he had a permit for it in New York, it was a .22 caliber, same kind of gun that killed Tanner.Lupo goes to ADA Connie Rubirosa and tells her that Franklin's alibi doesn't make sense and that Tanner could have been performing blackmail using the pot that was found in his pocket. If that was found on Franklin, he would lose his teaching job and his law credentials. Rubirosa doesn't seem to think it all matches up and tells him to call her when they have some PC. Van Buren says they need to find ties between Tanner and Franklin, evidence that they had it out for each other.They go back to Hayley's and find a number of law books that belonged to Greg and a folder with Franklin's course syllabus in it and a recorder with Tanner asking Franklin about the Veterans Administration but Franklin doesn't want to talk.Lupo goes to Linden V.A. Hospital and finds that Tanner had received counseling for 30 days and then was discharged due to his benefits lapsing. He had been discharged from Abu Ghraib for having a pre-existing personality disorder and it was keeping him up at night. They go back to 2-7 and decide that Tanner was putting together a case to sue the Veteran's Administration and wanted Franklin to represent him.Van Buren comes in to announce that she was diagnosed with cancer and will be coming and going more than usual but she knows that everyone can put up with it. They report what they have found and she tells them to talk to Franklin's colleagues. Everyone is surprised at her announcement.They go to see Michael Gendel who tells them that Franklin probably wasn't involved and that he is up for tenure and is very competitive. There are some papers from the Bush administration that had just become declassified that Franklin contributed to.They go through declassified documents to find that Franklin wrote up the working conditions for guards like Tanner at Abu Ghraib and Gitmo and thinks Tanner may have blamed him, wanting money from him to make up for his post-traumatic stress. They find this as probable cause.Lupo and Bernard head to the DA's office for the warrant but they find that Franklin is already there, having confessed to Tanner's shooting. He had a stalker and saw him in the hallway in the parking garage and was saying that it was self-defense. Granick, Franklin's attorney, is surprised they want a plea, telling them that he shot a trained killer who blamed him for his mental problems, demanded money, and threatened him when he said no. Franklin hands over a prohibition, stating that they can't repeat anything that he said in the interview with the police.DA Jack Mc Coy goes over the paperwork and finds that self-defense is Franklin's only excuse. They receive a motion from Franklin addressing his write to address to Grand Jury. Franklin is trying to make himself look as good and innocent as possible. They decide they have got to make Tanner look as cute and cuddly as a week-old puppy.Megan testifies in court, saying that Greg was likable and suffered from PTSD. Franklin testifies about Tanner wanting help from Franklin because he was involved with the Bush Administration. He explains that Tanner had demanded money and when he followed him into the garage, Franklin got scared for his life and shot Tanner. He had been in such shock that he couldn't approach the police until 4 days after the shooting.They are questioning Megan's testimony because at first she said that Greg never spoke about his experiences. Megan explains that she had found a video diary that he had created on his computer. They watch it and look more into the memo that Franklin helped write for the Bush administration and decide that they must prosecute for allowing the torture of inmates by soldiers. They meet with the judge regarding conspiracy and she denies the motion. And they need co-conspirators.Mc Coy asks Cutter to read the entirety of Franklin's memo and to find his advice to anyone charged with torture.Cutter connects the dots with Franklin's memo. A goverment attorney comes into Mc Coy's office and threatens him, placing multiple books on the table that will help their case, warning him that they can keep making more and more if he wants to continue.Mc Coy decides to center in on Franklin, if they can prove that he broke the law, then they can start moving up the chain of command. Cutter complains, saying they may have gotten in too deep but Mc Coy won't stand down, saying these people are getting away with so many things during the war and it needs to stop. In the court room, Cutter goes over Franklin's memo, talking about how torture tactics don't work.David, a man from the attorney general's office, approaches Mc Coy trying to call the whole case off. Mc Coy shoots him down, telling him that they will not stop the case.Franklin is on the stand, telling them that he was asked to provide research and compile a memo regarding the success rate of torture. He states that many of the US Amendments do not apply on foreign soil. Cutter interrogates him and his stance on foreign torture.Jack goes into Cutter's office and hears that a state senator has requested that McCoy be removed as DA. McCoy says they are wanted in Federal Court tomorrow.McCoy goes to court and David is trying to call off the case stating that state law has no place in a federal case. The judge decides to look over the motion and in the meantime, the case can continue.Back in the courtroom, they are saying that Franklin didn't commit torture, he only wrote about it, therefore not committing a crime.Cutter retorts by saying that he wrote instructions on how to perform the crime and that these people were written in as a special class of prisoners that needed this kind of attention. Back in Supreme Court, the verdict arrives but a federal marshal arrives with an order from the district court. They have to stop the case. McCoy is still wanted out but he isn't worried, he is happy with the stab they took at this one."
M.T. Adler|2|435|2009-10-02 00:00:00|20002|Just a Girl in the World|6680000.0|Richard Sweren & Christopher Ambrose|20|original|http://www.tv.com/shows/law-order/just-a-girl-in-the-world-1296094/recap|http://www.tv.com|Daisy Chao, a CSI, is found dead on her kitchen room floor by her fiance, Jim. Lupo and Bernard are called in to investigate. Jim was out of town the weekend of the murder. He was at his parents' house but has no alibi since they weren't at home. It's discovered that Daisy's wallet is missing, and Jim states that Daisy had a gift card to Victoria's Secret as his wedding gift to her and one credit card.Meanwhile, Lt. Van Buren is at the doctor's to discuss her cervical cancer. It's stage 2, which usually can be treated with chemotherapy. She was infected from HPV, which is a sexually transmitted disease, and since it takes more than a month for the cancer to appear, it looks as if it was her ex's fault.A suspicious ATM withdrawal pops up on Daisy's account, happening when she was at work. When it seems that she was getting antsy about the wedding (and feared that her fiance was having an affair because she found a feminine hygiene wipe in the trash which wasn't hers), Jim is brought in for questioning. He says that Daisy told him to take the money, and the detectives are suspicious, thinking they have him. However, a similar attack has come up in the 4th precinct.The victim, Emma Kim, says that she barely escaped her attacker, who seemed to have the same MO as Daisy's murderer. Emma is also Asian, also was attacked by a knife, and was also in a livery right before she was attacked. Emma suspects that her attacker has a thing for Asian women. Lupo doesn't think that Emma is safe in her apartment since her attacker knows where she lives, and that she should stay at the precinct instead.The detectives search for the driver based on Emma's description of him and of the Tweety decal on the back of his car. The driver denies that Emma ever rode in his car. They impound the man's car based on a charge of unpaid traffic tickets. Later in interrogation, the driver still insists that he didn't do anything to Emma and requests a lawyer, but Daisy's blood has been found in his car. In a police line up, Emma (while holding Lupo's hand), identifies the driver as her attacker. Lupo then offers to accompany Emma home.Bernard calls Lupo on his growing infatuation with Emma, saying that his personal feelings will start to mess up the case. The suggestion comes true when, during the hearing, Marquez points out that Emma and Lupo were holding hands when she IDed the driver. This could have meant that Lupo sent a secret signal to her about which suspect to point out. The line up evidence is thrown out because it could have been tainted. Later, Lupo and Emma spend the evening together, but Lupo becomes suspicious when he finds a piece of Victoria's Secret lingerie in Emma's closet.Jim is back to being questioned, and it's discovered that he and Emma worked for the same magazine. Jim breaks down and says that Emma asked him for money for her kidney medications. He took money out of Daisy's account to pay for them. After he confronted Emma about the money and told her that she would have to repay him, Jim went to his parents' house to cool off. Emma told him that he shouldn't mention anything about the money, and that she would get the detectives from investigating further. Lupo suddenly realizes what Emma meant by that.The detectives debrief Van Buren and she says to bring Jim in for larceny and obstruction of justice. When she asks about the lingerie, Lupo says that it's still in Emma's closet. And when pushed about how he knew that it was there, he admits to seeing it in her closet. Van Buren calls him on getting too personal with a witness. Lupo is suspended, and he rushes back to Emma to tell her what happened. However, Lupo is also wired, and Bernard and Van Buren are listening in on the conversation. Lupo attempts to push Emma but she keeps insisting that she was never with Jim. Emma is taken in for obstruction of justice.Emma blames Jim for the whole thing, saying that he was completely infatuated with her, but she told him that she wouldn't want to sleep with him while he was still engaged. Then he offered to pay her medical bills instead. The only thing that links the livery driver to the crime is the sample of Daisy's blood in his car, but it turns out that one of the CSIs working the scene took a blood sample from Daisy in order to frame the driver. The wipe which Daisy found suggests that Jim wasn't being faithful to her. Testing the wipe is positive for Emma's DNA as well as Jim's. Also, the sample reveals that Emma doesn't have the kidney disease she claims to have.Emma has conned several men out of thousands of dollars by saying she has various diseases. Daisy had been trying to track down Emma after Jim took out all that money, which was motive enough for Emma to kill her. Later on the stand, Emma claims that Lupo was pressuring her to sleep with him. Cutter, however, brings in all the testimony from the other men she conned. Emma tries to say that the judge had offered his help, so that this would force a mistrial, but then Cutter points out that even if there was a mistrial, she might do the exact same thing over again. Emma then tries to turn on Cutter, but Cutter refuses to break. The jury finds her guilty, and even as she's being taken away, she starts up a conversation with one of the guards, while Lupo looks on from a distance.
Michael Dinner|3|436|2009-10-09 00:00:00|20003|Great Satan|7230000.0|Luke Schelhaas & Ed Zuckerman|20|original|http://www.tv.com/shows/law-order/great-satan-1299735/recap|http://www.tv.com|
